Phenotype	UMAP_1	UMAP_2
30750_irnt	1.0465436	12.648502
3063_irnt	24.384058	5.8847985
30000_irnt	18.458418	5.518439
2754_irnt	13.204325	12.902341
30150	13.325166	18.09789
30020_irnt	18.090405	0.15184166
5262_irnt	7.6197443	24.531507
6138_1	12.166794	9.762762
30860_irnt	21.450195	-0.9096432
5254_irnt	7.439543	24.059288
30140_irnt	17.783815	3.8979461
30280_irnt	-17.795765	13.1018305
30180_irnt	16.027538	3.9286525
30030_irnt	19.317257	0.20515403
2139_irnt	13.162088	13.679596
102_irnt	20.44619	2.1938393
30200_irnt	17.283594	1.0525321
4080_irnt	23.48387	-3.5260437
22501_irnt	13.036178	10.129702
30600_irnt	20.769932	-0.12478777
4079_irnt	23.041164	-3.908504
4194_irnt	20.42228	2.821489
30650_irnt	22.05566	-7.5800242
1687	6.8040504	8.937423
30680_irnt	20.375975	-1.7842734
30810_irnt	15.369298	6.1951094
2375	14.919832	3.4864426
30620_irnt	22.7296	-7.079217
6150_4	22.089972	-3.3243375
20002_1065	22.07621	-3.8409553
6150_100	11.9485235	-1.4646364
20022_irnt	17.642769	2.6381207
6177_2	20.479324	-4.8287125
30670_irnt	11.222527	0.32680562
1180	-3.297662	2.4352572
6153_2	21.530333	-4.1799335
47_irnt	20.590815	4.967332
5012	-2.9616156	11.660556
46_irnt	20.419775	4.8988147
3581_irnt	12.91244	7.555924
20127_irnt	-6.6295857	-10.241086
5116_irnt	3.0432117	10.320141
2744	17.726387	3.223942
6177_100	11.407478	-1.7002729
3064_irnt	22.83163	5.57274
1070	4.046611	1.5256568
845	12.2535305	10.932969
2764_irnt	13.632089	12.055959
6138_100	2.7932258	1.9560435
4290_irnt	7.582892	14.867743
1618	13.657598	9.119769
2178	0.97063047	-6.772634
22506_114	11.386035	13.712012
4990	-3.0205133	12.286887
1080	9.768634	9.367795
20116_0	11.766604	14.532181
4548	0.5986278	-5.2449665
6138_2	12.529587	11.214886
400_irnt	7.164467	16.041832
22126	10.9090605	17.827404
1249	10.635436	13.473066
5119_irnt	2.828229	9.76391
2644	1.7948251	1.0049338
5104_irnt	-1.1199698	19.152132
1190	-0.6745229	-5.606326
6177_1	19.583832	-6.93984
6152_100	13.885959	2.175793
20489	11.2052	3.5615888
4957	-3.5431473	12.4507065
924	7.8613453	4.8026557
816	3.5422654	3.4950516
22506_113	1.7944446	-0.35971534
20128	-5.010493	12.773431
404_irnt	7.714104	16.101702
1478	4.7887306	0.6410027
1980	-7.217595	-11.798689
6152_9	11.723054	18.8543
1757	9.852569	9.393715
806	2.6290154	4.261694
20023_irnt	8.154434	15.110019
2966_irnt	10.155447	-1.0439422
30850_irnt	8.945459	3.4482305
2149	1.1883068	0.9887731
2217_irnt	0.29762027	6.4556594
1160	12.165204	6.549256
20160	1.1682752	-0.51934445
1518	3.3653965	7.555117
30530_irnt	9.474592	-0.21135987
20459	-2.4901237	-5.2335343
2867_irnt	12.219754	7.911717
1319	16.05034	11.467236
4968	-3.8073545	12.640003
20479	-5.8633633	-0.38532516
4803_0	15.397524	3.9903488
6153_100	11.398806	-1.3664875
2237	8.765754	8.360554
137	3.9522889	-9.391549
1170	9.75358	3.461141
1920	-7.296207	-9.084916
1050	2.7555468	3.6611295
1960	-6.6996675	-8.735647
1940	-5.7888656	-10.242745
30510_irnt	9.858317	0.1564436
1508_3	13.634844	10.209598
2395_2	15.502047	0.754789
1528	16.568672	10.440091
20488	-2.365045	-1.7934669
2385	14.339421	4.576021
1970	-6.3396697	-12.487274
1930	-7.4972486	-9.594164
2316	13.205692	16.143599
4559	-4.295304	3.6923296
135	3.6247826	-8.328606
20002_1111	12.857646	17.929405
4728	0.91066664	-6.692617
1448_1	5.0357714	-0.37321872
4598	-7.980994	1.8101338
2000	-6.4225893	-10.557876
2794_irnt	12.483941	13.4568615
1200	-3.2423315	-7.4523015
6152_8	12.420408	16.924479
20499	-8.69585	1.028193
20460	10.751541	2.3356433
4570	-5.0198526	4.043469
4581	-2.3079476	2.2045047
20502	-6.498659	-1.9445136
2090	-9.989889	0.26035908
2080	-2.1229227	-7.541814
4526	-4.2900357	2.4414332
20446	-8.437728	-0.21285835
1950	-6.871289	-11.22777
1309	17.13356	11.481691
1210	11.589535	5.119846
1458	15.889908	9.642194
6153_1	21.174276	-5.6883197
6154_100	11.258124	0.9805071
20441	-7.2186594	-0.01942365
1100	10.405527	6.079318
20517	-2.785171	-6.084053
6149_6	1.3816559	-2.6910062
1239	2.8973584	-0.36302453
4195_irnt	18.392117	2.2719064
20519	-1.7762347	-5.0617423
1568	13.665396	8.495041
1990	-5.6204667	-11.056816
2734	6.690202	1.0442997
6159_100	12.626911	2.1420474
20498	-3.6905763	-2.461554
20458	-3.9425318	-5.571706
2188	3.2664201	-6.7354636
1488_irnt	16.153973	8.367769
20421	-7.4670987	-1.5951262
399_irnt	7.1074586	16.557016
2030	-5.401596	-9.343032
20487	-3.491699	-1.3480825
30060_irnt	15.551992	1.4795897
20116_2	3.174835	-0.5372
2257	4.5933013	13.500363
20500	-7.0989122	-0.009850643
1588	6.9607396	-0.39341024
2040	3.7764733	1.6215574
20546_3	-9.090283	0.94826245
1220	-0.5177999	-6.7849593
1438_irnt	17.095896	8.7899065
1787	5.257824	-2.1193125
20116_1	0.67931515	-0.20851047
874_irnt	4.2017155	4.8548403
1468_4	14.608254	11.505551
20002_1473	20.669378	-6.375656
20547_1	-8.216358	0.07207921
1498	10.537775	2.6543393
1548	5.076235	8.747717
2492	5.081428	-9.115879
2664_3	14.454731	6.35746
1448_3	15.199535	10.228394
2814	6.363698	-3.1835196
1299	17.87344	10.678761
6144_4	1.8297466	10.511449
XIII_MUSCULOSKELET	3.3822463	-10.969151
6154_3	0.787267	-14.720685
6144_5	12.476454	3.536769
6164_2	6.454918	4.735247
2443	1.8809246	10.868774
6160_3	10.973073	12.449913
2010	-5.9157233	-11.843702
6138_6	11.19668	11.779313
1538_0	12.02736	2.6889143
1060	3.3544326	4.100254
6138_3	10.859928	10.705011
6159_1	0.67226577	-13.46165
136	7.4231424	-6.4994764
864	5.271376	4.20221
6159_7	0.90361446	-8.803632
2247_1	5.4242716	14.210266
2247_0	15.081886	4.4946494
30520_irnt	11.662232	1.2151448
6159_4	-0.16732235	-9.618086
1428_1	8.587843	2.1225686
2050	-4.293455	-7.5730214
884	5.2607236	5.660964
2070	-4.0774927	-8.934251
1289	18.13972	9.553125
6164_1	6.5935683	5.8631167
20111_100	11.223927	-0.4076499
2020	-5.1370234	-8.060142
20111_8	18.665304	-3.7044106
1090	8.044283	4.415174
41235	8.560548	-8.540104
2060	-3.6205137	-7.4368544
6164_4	8.860572	7.4544606
6149_100	12.606163	3.4336686
6146_100	11.350062	3.7116616
1598	3.8048947	-3.827458
6160_100	2.1902325	-1.3320258
1468_5	6.004377	-0.86657435
680_3	1.7253519	-1.1107758
6164_5	8.910786	7.0929503
20002_1220	2.4742994	11.502071
110001	-1.724148	12.975489
1508_2	6.034092	1.0000167
6162_2	3.8305683	5.443766
6159_3	-0.30712992	-10.647917
6160_1	5.0281334	4.7077656
904	5.0513077	4.813816
6149_1	7.5570087	-5.732424
2335	13.13006	-7.170475
XVIII_MISCFINDINGS	10.483911	-8.232115
6160_2	8.047826	0.16360755
826	3.4092085	4.4348607
20003_1140861958	20.976357	-6.755041
6145_6	-1.2251148	-0.47764504
20003_2038460150	1.5853186	-13.835251
20003_1141194794	21.364923	-4.4278765
20107_1	16.41135	-3.08641
680_1	11.321973	6.4226127
XI_DIGESTIVE	10.209162	-9.76513
1807_irnt	13.614247	0.18504545
914_irnt	5.030792	6.4366317
728	9.7776165	5.9238696
M13_ARTHROSIS	2.3073125	-10.970887
6179_100	5.879244	-0.61082757
2296	3.0002265	-4.712764
189_irnt	1.7213109	1.3964496
2100	-10.984645	-0.46854326
1628	3.8261838	10.225302
6146_2	1.5992066	-3.7725713
6155_100	7.399954	1.1964408
2473	4.492275	-6.721146
6147_1	-2.0172098	5.830291
1538_1	2.8207016	8.967044
6162_4	6.6836333	4.915966
1428_3	7.1267853	9.165463
894	3.8383062	5.605823
20110_8	19.740252	-3.8224306
ICDMAIN_ANY_ENTRY	8.335918	-7.649904
41248_1000	8.4139	-8.378491
1578	12.025226	7.9314914
6145_100	12.964328	4.21558
R07	13.07793	-7.74961
20111_9	0.82868326	11.442722
20002_1074	15.567894	-7.173133
6150_2	15.566106	-7.3187785
6159_6	-0.56321156	-8.891383
1279	2.6241946	0.4420464
6179_1	0.87328887	8.275014
6164_3	5.983837	3.8610675
I9_DISVEINLYMPH	13.760614	-10.915152
6162_1	8.946865	5.869143
IX_CIRCULATORY	13.747179	-8.590542
6142_4	2.004196	-3.2818458
1428_0	4.8446484	7.9772463
6154_1	17.970335	-7.9623
6154_2	-0.16261938	-14.304135
2129	5.756529	12.805172
20003_1140868226	17.733854	-7.514447
6155_7	0.38675836	8.885274
699_irnt	9.811856	7.071184
6164_100	3.2822378	-2.1087608
6146_3	2.889606	-5.0224633
1418_3	5.7289786	8.000167
M17	2.3007517	-10.307782
KNEE_ARTHROSIS	2.2333174	-10.510978
20110_9	1.6208346	12.427354
6141_1	10.206401	4.7172327
1538_2	4.7372947	7.8954415
22704_irnt	-1.6879696	9.175932
6162_3	1.2769545	4.9538884
K11_GALLBILPANC	9.786954	-10.486643
20111_1	14.657422	-3.7497334
20003_1140879802	20.26406	-2.836094
K57	10.952961	-8.933547
20002_1465	2.3834317	-8.841153
6159_5	9.809168	-7.8633347
6154_5	9.173132	-12.51244
20107_8	18.603197	-2.6644151
20002_1387	11.379938	18.40674
6179_2	0.14810492	9.343754
H7_LENS	5.8894906	20.61774
6149_3	5.253542	-3.4800515
20107_9	1.4470526	12.254435
41231_1	8.489063	-9.201852
20117_2	9.637006	2.709296
M13_OTHERJOINT	4.525027	-12.472255
20003_1140865634	8.564415	-13.38404
G6_NERPLEX	7.0218515	-12.138793
2463	5.0362935	-5.984567
XIX_INJURY_POISON	6.5897617	-6.8992696
6160_5	9.834791	10.545428
6160_4	11.490438	9.811887
20003_1140866738	18.02076	-6.2225857
20110_100	10.984164	-2.0269945
VI_NERVOUS	6.366875	-11.1034155
20002_1286	-10.292637	-1.7009702
20003_1140860806	18.709547	-6.026149
20003_1140871310	0.37825584	-13.337085
6138_5	5.7209754	9.528976
6145_1	5.545102	-5.4506254
6139_3	11.205041	7.2688165
1418_2	10.866775	3.1398904
30100_irnt	8.060065	10.578402
30080_irnt	18.32356	5.153954
30040_irnt	14.047827	-1.5154722
30090_irnt	17.973608	4.681357
30050_irnt	14.206896	-0.16344763
30300_irnt	-16.44247	13.57665
30290_irnt	-16.81405	13.094212
30130_irnt	17.986172	6.1659245
30830_irnt	9.841063	0.75059485
30730_irnt	21.572147	-7.271685
30250_irnt	-16.39588	12.286994
30240_irnt	-17.395605	11.8294325
30870_irnt	18.465889	-4.992986
30880_irnt	21.716805	-6.6340656
30190_irnt	16.99907	7.2118597
30110_irnt	6.9247866	10.663178
30270_irnt	13.30113	-1.568414
30260_irnt	12.821474	-0.94377196
30710_irnt	18.651905	-13.650889
5556	-1.6346254	10.93385
93_irnt	18.556028	-1.1493752
5157_irnt	3.1224403	15.222905
5158_irnt	2.4844904	15.455853
94_irnt	19.337318	-1.3391014
30690_irnt	13.54435	-3.3091898
4282	-4.7680244	14.125882
3761_irnt	15.050202	1.1224916
2887	5.7597003	-3.961831
5110_irnt	2.8510923	18.069721
30890_irnt	2.0422	5.5006313
5983_irnt	19.4116	3.7652068
738	11.498144	7.686206
30640_irnt	15.73441	-3.8998888
4260	-4.419795	14.027427
4283	-3.9358964	14.554597
30740_irnt	1.0527979	11.325079
5109_irnt	1.4786788	19.20037
6033_irnt	19.011765	2.7400403
30780_irnt	13.804763	-3.56467
1558	4.347941	9.0722275
3536_irnt	13.829476	6.231052
5107_irnt	2.2071543	14.383985
20453	-0.31000635	0.32505777
3606	1.0656233	-4.651805
5106_irnt	2.434268	13.308182
100017_irnt	15.688534	7.7266154
20414	8.880857	1.4874307
5101_irnt	-0.28717503	19.834816
5114_irnt	-0.3766739	18.617151
6032_irnt	18.733824	3.9069216
3849	-0.12967227	-0.22873315
5111_irnt	1.9123473	18.840908
100010	13.724348	8.035613
100001_irnt	16.475122	8.892427
2267	10.19034	0.5150522
100011_irnt	15.204285	7.5316763
1408	13.751768	11.009617
1329	18.522316	11.098291
5984_irnt	17.15051	3.1047087
100002_irnt	14.651998	8.467193
5993	16.209015	3.4058173
100016_irnt	16.302542	7.8337517
20416	6.724363	-0.78182125
20126_0	13.8840475	3.5337095
22127	11.474387	16.716997
5108_irnt	2.019167	18.65478
20425	-7.361839	-2.9644017
5112_irnt	3.5640814	14.021009
5103_irnt	3.0686436	13.449841
1110	6.8049517	3.138883
20536_0	12.873409	4.9288826
20403	7.122535	0.3464695
4291	6.235399	14.992893
1120	5.9455433	2.7703676
20002_1226	4.635328	-7.760788
4537	-4.1547346	3.043129
22607_1	8.432617	11.230209
4196_irnt	16.927248	4.652904
4825	5.8806443	12.717767
5159_irnt	3.60649	16.290926
2926	7.6586337	-2.5393164
20511	-1.5116549	-4.179677
21021_irnt	18.700066	0.89511836
20018	6.4522414	15.097266
3799	0.56681967	-11.33976
30220_irnt	15.589297	2.1909313
2395_3	16.11884	1.4484875
4717	2.3949172	-5.1524286
5001	-2.603191	13.194135
5201_irnt	4.7437387	15.963046
22502	10.052611	15.246171
1349	20.463474	9.417705
4631	-6.4663625	2.3936362
4653	-5.932148	1.7995197
5100_irnt	0.08432832	19.341639
20497	-4.229771	-2.6618712
20505	-6.6705294	-4.4114885
22609_2	8.6900215	13.015371
20544_11	-8.556872	-0.8171467
30500_irnt	15.599399	-2.2553942
4979	-3.9447377	10.771037
1379	21.269535	9.826205
1031	-3.376328	4.5166655
2110	10.767238	3.6417053
22608_2	9.626457	12.849678
6157_3	12.926332	5.7105947
2664_5	8.710831	6.6096926
22606_2	7.7971616	12.881117
6157_100	7.485152	8.362355
20521	-2.552444	-1.0472475
22607_0	13.116377	6.8213587
22504	9.95148	14.973233
20003_1141191044	4.8768463	-8.111272
22601_23143401	12.518724	8.920908
20509	-5.217857	-4.3075414
1021	6.6503487	7.095695
20510	-4.1762495	-4.490327
3571	1.0399578	-9.694886
971	4.1003094	3.867534
22617_2314	11.706252	9.925078
1369	21.801975	10.547337
2724	8.221294	-2.0685673
20520	-5.994364	-5.148906
943	9.018373	5.276646
1359	20.818937	10.91034
4270	5.668265	14.120356
20485	-5.1738987	0.05545719
20495	-4.651596	-3.0280895
20548_1	-5.808331	-3.1110828
20531	-3.113092	0.23847385
C3_SKIN	9.532268	-4.235189
20544_15	-8.842592	0.013224591
20077	-1.2213876	12.302108
2844	7.128831	-5.576947
C3_OTHER_SKIN	10.0907955	-3.9653249
20529	-2.5975192	0.77451605
2405	9.330322	3.8792331
20514	-2.9416008	-4.6761203
4803_11	6.573524	12.592233
20523	-0.6655056	-0.81275123
4288_irnt	7.7265697	13.052342
20522	12.095918	4.195436
20550_1	-7.210885	-1.0600351
20491	11.846344	5.2557683
C3_PROSTATE	12.112626	-4.0968776
20512	-5.2425733	-4.6497064
2634	6.528842	7.254714
C3_MALE_GENITAL	12.462305	-4.790386
20518	-2.8086326	-3.5990405
20003_1140884600	2.5897143	11.817625
1130	6.510476	3.7438815
22610_1	7.305305	11.524496
20548_2	-6.829905	-3.0528104
4674	5.5750093	11.584338
1339	19.185152	9.980703
4836	3.7861285	11.553915
I25	15.532565	-9.066591
6143_3	-0.4357705	5.3256497
2365	12.672352	-5.4468966
6143_1	7.904044	5.645006
N81	8.598888	-5.9336824
1389	21.94178	9.727811
1150_2	16.154236	1.2779573
20001_1002	11.780162	-4.5693455
2415	7.108094	-7.610668
6143_4	7.203191	5.4192443
3591	7.755455	-4.2750883
1150_1	7.251038	12.499722
I83	14.275539	-10.20044
129_irnt	-2.1804404	8.468182
2654_4	5.168294	0.19054702
777	5.2796326	3.0779881
30160	16.320292	3.5404599
2784	3.873645	-2.371758
1677	13.443331	7.39972
3526_irnt	14.115055	2.7459533
3393	4.748413	12.94335
981	7.6261454	8.476681
K40	8.466388	-9.931692
767_irnt	6.429118	2.670882
2774	3.6441262	-1.0307562
20075_irnt	-2.9733176	8.819797
K80	9.139736	-9.971681
COX_ARTHROSIS	1.5883017	-11.518877
M16	1.5348593	-11.795166
1011	7.917841	7.0661335
G56	7.392476	-12.068304
2277	2.4426637	2.669683
2654_6	12.762708	6.2075977
C44	9.784582	-3.4331725
G6_CARPTU	7.2533627	-12.384154
20002_1075	16.832262	-6.2688403
3637	6.1034884	5.774138
XIV_GENITOURINARY	9.261319	-6.7945566
20003_1140861998	13.4798155	17.460817
1508_1	7.636353	7.375739
6138_4	4.1157107	6.406585
COPD_EXCL	6.8538527	-5.9890656
ASTHMA_MEDICATIO_COMORB	4.928286	20.936136
K11_HERNIA	9.695912	-11.110198
PULMONARYDG	6.402766	-6.5862465
D12	11.34569	-7.078286
1468_3	2.9333851	7.1152754
1873	7.583147	-0.40406927
VII_EYE_ADNEXA	4.987836	21.530329
20002_1265	-0.34669366	-12.673793
24018_irnt	-1.678107	3.8993833
6152_6	6.415253	-4.4553785
20110_1	15.021652	-5.4056005
I48	14.271924	-6.5342107
20107_100	9.934376	-1.9772272
1418_6	3.5410073	8.921619
C3_BREAST_3	11.46952	-4.24459
24017_irnt	-0.03315144	3.723521
24016_irnt	-0.3673345	4.424975
6142_1	9.469625	4.5478287
20110_6	6.7674756	-3.2677877
M54	2.206148	-8.9598875
M13_DORSALGIA	1.584135	-8.640348
20107_3	8.157051	-1.9858999
2207	-0.86838824	6.1206326
20111_12	-10.2679205	-0.7481181
R10	9.844502	-9.531119
24019_irnt	-1.198165	4.7275677
398	10.749249	6.447083
24004_irnt	0.13305466	3.008135
C50	10.952513	-4.438329
1140	8.039804	2.9247105
20003_1141146234	19.791962	-5.546459
H26	5.251899	19.607998
PULM_MEDICATIO_COMORB	5.1858506	20.472816
709	8.842106	3.269125
2345	11.560328	-7.3214006
I20	14.900332	-7.513764
24006_irnt	-0.59729815	2.6135933
20117_0	6.110427	9.366792
20117_1	3.6122239	7.785869
20003_1140860696	20.184345	-3.357366
24003_irnt	0.46056283	2.8887868
1150_3	6.6442327	9.263518
6149_4	4.464011	-2.6165068
6155_3	1.2974572	8.847491
20002_1309	4.649382	-4.6973224
II_NEOPLASM	10.937147	-5.3854556
6179_3	1.6249492	6.9657235
6147_2	0.28486496	6.8802185
1418_1	6.8692536	1.3868376
is_female	11.691395	8.98189
20002_1474	10.054533	-13.32027
20152	6.2594423	10.907223
K21	10.517686	-11.735529
2306	3.0365713	-4.1141925
CARDIAC_ARRHYTM	14.442189	-6.5489864
M23	3.3330555	-12.356
6152_5	12.796253	-10.248032
1259	4.5315433	1.6633321
6159_8	1.839316	-3.4658172
20003_1140864752	10.765621	-12.667441
M20	5.045982	-11.344165
M13_MENISCUSDERANGEMENTS	3.4359598	-12.764772
6154_6	1.158335	-4.269197
1418_4	2.020494	7.9456935
20107_6	6.817075	-3.2583625
20002_1138	9.877817	-13.591923
20002_1094	13.692043	-10.971126
M13_HALLUXVALGUS	5.471715	-11.253149
M13_LOWBACKPAIN	2.620607	-7.9331675
20118_11	-2.5714083	8.148275
20107_13	13.235807	-2.54165
6179_4	1.1474739	7.988857
1883	5.6652355	0.16585612
6142_2	10.333296	8.162262
6147_4	-0.86116606	7.242263
20003_1140884488	2.6623046	-7.475694
2159	-0.17125641	1.5751665
K22	11.170908	-11.199708
6147_3	1.6247851	6.2011743
20003_1140923346	2.2164536	-5.748555
41215_0	7.483575	-9.189219
20107_101	17.036594	-1.8040462
134	10.320572	-4.807524
680_2	7.72752	3.8298917
N39	8.359068	-7.067806
R31	10.242723	-7.1539183
2227	6.0904045	21.899183
670_1	9.926664	5.724627
I84	11.418698	-8.669503
6139_2	7.342164	7.3682013
1269	4.0116534	0.14934155
G6_EPIPAROX	6.0587363	-8.967865
K44	10.900348	-11.942906
6144_1	4.6248493	10.566648
C3_DIGESTIVE_ORGANS	11.179982	-6.2757196
