phe1_name	phe2_name	gcor	gcor_SE	zscore	P	phe1_isBinary	phe2_isBinary	ToMultiply	gcor_old	zscore_old
AA	CeC	0.0467	0.2315	0.2015	0.8403	True	True	1	0.0467	0.2015
AA	ChG	NA	NA	NA	NA	True	True	1	NA	NA
AA	ChP	0.1464	0.2918	0.5018	0.6158	True	True	1	0.1464	0.5018
AA	ChS	-0.5614	0.6405	-0.8765	0.3808	True	True	1	-0.5614	-0.8765
AA	Cho	0.2227	0.232	0.9596	0.3373	True	True	1	0.2227	0.9596
AA	Cir	-0.049	0.36	-0.136	0.8918	True	True	1	-0.049	-0.136
AA	Co	-0.3125	0.4103	-0.7617	0.4462	True	True	1	-0.3125	-0.7617
AA	Cys	NA	NA	NA	NA	True	True	1	NA	NA
AA	DBP	0.2498	0.0997	2.505	0.0122	True	False	-1	-0.2498	-2.505
AA	DC	NA	NA	NA	NA	True	True	1	NA	NA
AA	DN	0.0299	0.2302	0.1298	0.8967	True	True	1	0.0299	0.1298
AA	Dep	NA	NA	NA	NA	True	True	1	NA	NA
AA	Dip	-0.1455	0.3785	-0.3845	0.7006	True	True	1	-0.1455	-0.3845
AA	Dys	NA	NA	NA	NA	True	True	1	NA	NA
AA	EC	0.1276	0.1519	0.8398	0.401	True	True	1	0.1276	0.8398
AA	EM	-0.0546	0.2919	-0.1869	0.8517	True	True	1	-0.0546	-0.1869
AA	EOS	0.1328	0.0929	1.4296	0.1528	True	False	-1	-0.1328	-1.4296
AA	EV	NA	NA	NA	NA	True	True	1	NA	NA
AA	EcP	NA	NA	NA	NA	True	True	1	NA	NA
AA	EnC	0.1095	0.1939	0.5647	0.5722	True	True	1	0.1095	0.5647
AA	Ep	0.3548	0.3176	1.1173	0.2639	True	True	1	0.3548	1.1173
AA	FA	-0.1823	0.2241	-0.8136	0.4159	True	True	1	-0.1823	-0.8136
AA	FNP	-0.3564	0.7658	-0.4654	0.6417	True	True	1	-0.3564	-0.4654
AA	FS	0.3122	0.2255	1.3847	0.1662	True	True	1	0.3122	1.3847
AA	GBP	-0.6531	0.4562	-1.4317	0.1522	True	True	1	-0.6531	-1.4317
AA	GC	-0.1244	0.1309	-0.95	0.3421	True	True	1	-0.1244	-0.95
AA	GD	0.0774	0.1229	0.6294	0.5291	True	True	1	0.0774	0.6294
AA	GERD	0.1427	0.389	0.3669	0.7137	True	True	1	0.1427	0.3669
AA	GGT	-0.0943	0.1216	-0.7753	0.4382	True	False	-1	0.0943	0.7753
AA	GP	-0.0438	0.2442	-0.1793	0.8577	True	True	1	-0.0438	-0.1793
AA	GU	-0.0025	0.1506	-0.0165	0.9868	True	True	1	-0.0025	-0.0165
AA	Gla	0.11	0.126	0.8725	0.3829	True	True	1	0.11	0.8725
AA	Glucose	-0.0336	0.1011	-0.3325	0.7395	True	False	-1	0.0336	0.3325
AA	Goi	NA	NA	NA	NA	True	True	1	NA	NA
AA	H03A	0.3587	0.234	1.533	0.1253	True	True	1	0.3587	1.533
AA	HAV	NA	NA	NA	NA	True	True	1	NA	NA
AA	HC	-0.1291	0.3914	-0.3297	0.7416	True	True	1	-0.1291	-0.3297
AA	HD	-0.1267	0.3057	-0.4144	0.6786	True	True	1	-0.1267	-0.4144
AA	HDLC	-0.1716	0.0955	-1.7961	0.0725	True	False	-1	0.1716	1.7961
AA	HI	0.1733	0.2748	0.6308	0.5282	True	True	1	0.1733	0.6308
AA	HL	-0.4862	0.6483	-0.7499	0.4533	True	True	1	-0.4862	-0.7499
AA	Hb	-0.1011	0.0764	-1.3233	0.1857	True	False	-1	0.1011	1.3233
AA	HbA1c	0.133	0.1039	1.28	0.2006	True	False	-1	-0.133	-1.28
AA	Hei	0.0696	0.0439	1.588	0.1123	True	False	-1	-0.0696	-1.588
AA	Her	NA	NA	NA	NA	True	True	1	NA	NA
AA	Ht	-0.0771	0.0729	-1.0575	0.2903	True	False	-1	0.0771	1.0575
AA	Hype	0.0028	0.2081	0.0135	0.9892	True	True	1	0.0028	0.0135
AA	Hypo	0.3309	0.353	0.9376	0.3485	True	True	1	0.3309	0.9376
AA	IDA	-0.509	0.907	-0.5612	0.5747	True	True	1	-0.509	-0.5612
AA	IH	0.1797	0.1641	1.0948	0.2736	True	True	1	0.1797	1.0948
AA	ILD	NA	NA	NA	NA	True	True	1	NA	NA
AA	IN	-0.1357	0.2439	-0.5564	0.5779	True	True	1	-0.1357	-0.5564
AA	IS	0.2057	0.1268	1.6223	0.1047	True	True	1	0.2057	1.6223
AA	ITP	-0.1067	0.6576	-0.1623	0.8711	True	True	1	-0.1067	-0.1623
AA	Ile	NA	NA	NA	NA	True	True	1	NA	NA
AA	InH	0.1418	0.1862	0.7616	0.4463	True	True	1	0.1418	0.7616
AA	Ins	0.0542	0.2939	0.1844	0.8537	True	True	1	0.0542	0.1844
AA	Iri	-0.1602	0.3206	-0.4998	0.6172	True	True	1	-0.1602	-0.4998
AA	JRA	NA	NA	NA	NA	True	True	1	NA	NA
AA	Kel	-0.1119	0.1691	-0.6615	0.5083	True	True	1	-0.1119	-0.6615
AA	L04	-0.1887	0.1825	-1.034	0.3011	True	True	1	-0.1887	-1.034
AA	LDLC	0.1499	0.1203	1.2457	0.2129	True	False	-1	-0.1499	-1.2457
AA	LYM	0.1774	0.101	1.757	0.0789	True	False	-1	-0.1774	-1.757
AA	LiC	0.0675	0.5485	0.1231	0.9021	True	True	1	0.0675	0.1231
AA	LuC	0.1485	0.2709	0.5481	0.5836	True	True	1	0.1485	0.5481
AA	M01A	0.212	0.1842	1.151	0.2497	True	True	1	0.212	1.151
AA	M05B	0.273	0.1688	1.6169	0.1059	True	True	1	0.273	1.6169
AA	MA	NA	NA	NA	NA	True	True	1	NA	NA
AA	MAP	0.2137	0.0948	2.2549	0.0241	True	False	-1	-0.2137	-2.2549
AA	MCH	0.0891	0.0868	1.027	0.3044	True	False	-1	-0.0891	-1.027
AA	MCHC	-0.0548	0.0914	-0.5991	0.5491	True	False	-1	0.0548	0.5991
AA	MCV	0.1087	0.0774	1.4055	0.1599	True	False	-1	-0.1087	-1.4055
AA	MG	0.3254	0.3683	0.8836	0.3769	True	True	1	0.3254	0.8836
AA	MI	0.2727	0.0818	3.3329	0.0009	True	True	1	0.2727	3.3329
AA	ML	-0.0401	0.369	-0.1086	0.9135	True	True	1	-0.0401	-0.1086
AA	MON	0.0376	0.0966	0.3895	0.6969	True	False	-1	-0.0376	-0.3895
AA	Mas	0.005	0.2943	0.0169	0.9865	True	True	1	0.005	0.0169
AA	Men	-0.0707	0.2672	-0.2645	0.7914	True	True	1	-0.0707	-0.2645
AA	Myo	0.0672	0.2711	0.2477	0.8043	True	True	1	0.0672	0.2477
AA	N02A	-0.2867	1.0075	-0.2846	0.776	True	True	1	-0.2867	-0.2846
AA	N02BA	0.2995	0.1098	2.7281	0.0064	True	True	1	0.2995	2.7281
AA	N02BE	NA	NA	NA	NA	True	True	1	NA	NA
AA	N02C	0.2701	0.3355	0.8051	0.4208	True	True	1	0.2701	0.8051
AA	N06A	-0.288	0.2483	-1.16	0.246	True	True	1	-0.288	-1.16
AA	NB	NA	NA	NA	NA	True	True	1	NA	NA
AA	NEU	0.1465	0.0889	1.649	0.0991	True	False	-1	-0.1465	-1.649
AA	NMI	0.0219	0.1657	0.1322	0.8948	True	True	1	0.0219	0.1322
AA	NP	0.2578	0.2699	0.9552	0.3395	True	True	1	0.2578	0.9552
AA	NS	-0.27	0.2924	-0.9236	0.3557	True	True	1	-0.27	-0.9236
AA	OC	0.9652	0.5717	1.6883	0.0914	True	True	1	0.9652	1.6883
AA	OP	0.1771	0.1369	1.2939	0.1957	True	True	1	0.1771	1.2939
AA	OvC	0.289	0.3346	0.8635	0.3879	True	True	1	0.289	0.8635
AA	PA	0.1816	0.3812	0.4764	0.6338	True	True	1	0.1816	0.4764
AA	PAD	0.2179	0.1379	1.5799	0.1141	True	True	1	0.2179	1.5799
AA	PD	NA	NA	NA	NA	True	True	1	NA	NA
AA	PE	-0.1337	0.3378	-0.3958	0.6923	True	True	1	-0.1337	-0.3958
AA	PF	NA	NA	NA	NA	True	True	1	NA	NA
AA	PKD	0.2975	0.3535	0.8417	0.4	True	True	1	0.2975	0.8417
AA	PLC	0.2507	0.3821	0.6561	0.5118	True	True	1	0.2507	0.6561
AA	SBP	0.1644	0.0918	1.7921	0.0731	True	False	-1	-0.1644	-1.7921
AA	SD	-0.3344	0.5565	-0.601	0.5479	True	True	1	-0.3344	-0.601
AA	SLE	-0.0257	0.2264	-0.1135	0.9096	True	True	1	-0.0257	-0.1135
AA	Sch	-0.0256	0.2873	-0.0891	0.929	True	True	1	-0.0256	-0.0891
AA	T1D	-0.0852	0.2624	-0.3245	0.7455	True	True	1	-0.0852	-0.3245
AA	TBil	-0.0818	0.1055	-0.775	0.4384	True	False	-1	0.0818	0.775
AA	TG	0.2092	0.0758	2.7576	0.0058	True	False	-1	-0.2092	-2.7576
AA	TS	NA	NA	NA	NA	True	True	1	NA	NA
AA	ThC	0.5022	0.8621	0.5825	0.5602	True	True	1	0.5022	0.5825
AA	Typ	-0.5126	0.5186	-0.9885	0.3229	True	True	1	-0.5126	-0.9885
AA	UAP	0.2049	0.1137	1.8021	0.0715	True	True	1	0.2049	1.8021
AA	UF	-0.0296	0.1109	-0.2671	0.7894	True	True	1	-0.0296	-0.2671
AA	Uro	-0.1725	0.092	-1.8748	0.0608	True	True	1	-0.1725	-1.8748
AA	Uve	-0.2431	0.2992	-0.8127	0.4164	True	True	1	-0.2431	-0.8127
AA	Var	0.4665	0.3466	1.3458	0.1784	True	True	1	0.4665	1.3458
AA	Zos	-0.1539	0.5698	-0.2701	0.7871	True	True	1	-0.1539	-0.2701
AA	PLT	-0.0221	0.0939	-0.2355	0.8138	True	False	-1	0.0221	0.2355
AA	PM	0.1429	0.2031	0.7034	0.4818	True	True	1	0.1429	0.7034
AA	PP	0.0302	0.1005	0.3002	0.764	True	False	-1	-0.0302	-0.3002
AA	PT	-0.1596	0.1789	-0.8922	0.3723	True	True	1	-0.1596	-0.8922
AA	PaC	-0.5427	0.5076	-1.0692	0.285	True	True	1	-0.5427	-1.0692
AA	PeD	NA	NA	NA	NA	True	True	1	NA	NA
AA	Per	0.1273	0.4989	0.2551	0.7986	True	True	1	0.1273	0.2551
AA	Pl	-0.1349	0.3391	-0.3977	0.6909	True	True	1	-0.1349	-0.3977
AA	Pn	-0.0832	0.2076	-0.4007	0.6886	True	True	1	-0.0832	-0.4007
AA	Pne	-0.2337	0.2858	-0.8177	0.4135	True	True	1	-0.2337	-0.8177
AA	Pneu	-0.2012	0.4681	-0.4297	0.6674	True	True	1	-0.2012	-0.4297
AA	Pol	-0.072	0.128	-0.5625	0.5738	True	True	1	-0.072	-0.5625
AA	PrC	-0.0429	0.1121	-0.3828	0.7019	True	True	1	-0.0429	-0.3828
AA	PsV	0.5536	0.2923	1.8939	0.0582	True	True	1	0.5536	1.8939
AA	Pye	NA	NA	NA	NA	True	True	1	NA	NA
AA	R03A	-0.0882	0.1611	-0.5473	0.5842	True	True	1	-0.0882	-0.5473
AA	R03BA	-0.0523	0.1635	-0.3202	0.7488	True	True	1	-0.0523	-0.3202
AA	R06A	0.186	0.179	1.0393	0.2987	True	True	1	0.186	1.0393
AA	RA	0.141	0.1366	1.032	0.3021	True	True	1	0.141	1.032
AA	RBC	-0.1085	0.0747	-1.4531	0.1462	True	False	-1	0.1085	1.4531
AA	RD	-0.0406	0.2311	-0.1758	0.8604	True	True	1	-0.0406	-0.1758
AA	RF	-0.7264	0.6255	-1.1613	0.2455	True	True	1	-0.7264	-1.1613
AA	RP	-0.2053	0.3271	-0.6278	0.5302	True	True	1	-0.2053	-0.6278
AA	RW	NA	NA	NA	NA	True	True	1	NA	NA
AA	S01E	0.2469	0.2165	1.1404	0.2541	True	True	1	0.2469	1.1404
AA	SAP	0.1072	0.1032	1.0386	0.299	True	True	1	0.1072	1.0386
AA	SAS	0.4423	0.3751	1.1791	0.2384	True	True	1	0.4423	1.1791
AA	SCS	0.1322	0.2486	0.5318	0.5949	True	True	1	0.1322	0.5318
AA	SH	0.5278	0.345	1.5299	0.126	True	True	1	0.5278	1.5299
AA	SS	0.0127	0.1444	0.0877	0.9301	True	True	1	0.0127	0.0877
AA	Sar	0.0602	0.1808	0.3331	0.739	True	True	1	0.0602	0.3331
AA	SkC	NA	NA	NA	NA	True	True	1	NA	NA
AA	T2D	0.0322	0.0679	0.4749	0.6348	True	True	1	0.0322	0.4749
AA	TC	0.1016	0.0969	1.0485	0.2944	True	False	-1	-0.1016	-1.0485
AA	TP	-0.1127	0.0839	-1.3427	0.1794	True	False	-1	0.1127	1.3427
AA	Tat	0.1965	0.2754	0.7135	0.4755	True	True	1	0.1965	0.7135
AA	Ton	-0.307	0.2466	-1.2449	0.2132	True	True	1	-0.307	-1.2449
AA	UA	0.0924	0.0698	1.3235	0.1857	True	False	-1	-0.0924	-1.3235
AA	UC	-0.2157	0.2064	-1.0448	0.2961	True	True	1	-0.2157	-1.0448
AA	UP	-0.5591	0.329	-1.6992	0.0893	True	True	1	-0.5591	-1.6992
AA	Urt	0.132	0.1815	0.7274	0.467	True	True	1	0.132	0.7274
AA	VA	NA	NA	NA	NA	True	True	1	NA	NA
AA	WBC	0.2147	0.0725	2.9631	0.003	True	False	-1	-0.2147	-2.9631
AA	sCr	0.1123	0.0704	1.595	0.1107	True	False	-1	-0.1123	-1.595
AC	AC	1.0	4.1314e-05	24205.732	0.0	True	True	1	1.0	24205.732
AC	A02B	0.2935	0.2528	1.1611	0.2456	True	True	1	0.2935	1.1611
AC	A10	-0.0854	0.1009	-0.8461	0.3975	True	True	1	-0.0854	-0.8461
AC	AD	0.4162	0.2027	2.0536	0.04	True	True	1	0.4162	2.0536
AC	AF	0.089	0.2279	0.3906	0.6961	True	True	1	0.089	0.3906
AC	AG	NA	NA	NA	NA	True	True	1	NA	NA
AC	AIH	-0.3008	0.2581	-1.1654	0.2438	True	True	1	-0.3008	-1.1654
AC	ALP	-0.14	0.0951	-1.4728	0.1408	True	False	-1	0.14	1.4728
AC	ALT	0.0543	0.1159	0.4683	0.6396	True	False	-1	-0.0543	-0.4683
AC	AP	0.0314	0.3119	0.1007	0.9198	True	True	1	0.0314	0.1007
AC	AR	0.6252	0.2014	3.1039	0.0019	True	True	1	0.6252	3.1039
AC	ARF	0.062	0.3195	0.1941	0.8461	True	True	1	0.062	0.1941
AC	AST	0.0266	0.118	0.2255	0.8216	True	False	-1	-0.0266	-0.2255
AC	ATR	-0.0243	0.4536	-0.0536	0.9572	True	True	1	-0.0243	-0.0536
AC	Abo	NA	NA	NA	NA	True	True	1	NA	NA
AC	Alb	-0.0244	0.1179	-0.207	0.836	True	False	-1	0.0244	0.207
AC	Ang	0.0848	0.153	0.5539	0.5797	True	True	1	0.0848	0.5539
AC	ApA	-0.4703	0.5094	-0.9231	0.3559	True	True	1	-0.4703	-0.9231
AC	As	0.3752	0.1557	2.4095	0.016	True	True	1	0.3752	2.4095
AC	B01A	0.1608	0.1334	1.2059	0.2279	True	True	1	0.1608	1.2059
AC	BAS	-0.0348	0.1422	-0.2451	0.8064	True	False	-1	0.0348	0.2451
AC	BC	-0.3582	0.1922	-1.8636	0.0624	True	True	1	-0.3582	-1.8636
AC	BD	0.0387	0.4844	0.08	0.9363	True	True	1	0.0387	0.08
AC	BMI	-0.1153	0.0797	-1.4475	0.1478	True	False	-1	0.1153	1.4475
AC	BP	NA	NA	NA	NA	True	True	1	NA	NA
AC	BT	NA	NA	NA	NA	True	True	1	NA	NA
AC	BUN	-0.0229	0.1138	-0.2015	0.8403	True	False	-1	0.0229	0.2015
AC	BW	-0.1114	0.0737	-1.5104	0.131	True	False	-1	0.1114	1.5104
AC	Br	NA	NA	NA	NA	True	True	1	NA	NA
AC	Bro	NA	NA	NA	NA	True	True	1	NA	NA
AC	BtC	NA	NA	NA	NA	True	True	1	NA	NA
AC	C01D	-0.098	0.1411	-0.6947	0.4872	True	True	1	-0.098	-0.6947
AC	C02	0.0905	0.18	0.503	0.6149	True	True	1	0.0905	0.503
AC	C03	0.116	0.1747	0.6639	0.5067	True	True	1	0.116	0.6639
AC	C07	0.0507	0.1505	0.3368	0.7362	True	True	1	0.0507	0.3368
AC	C08	-0.1533	0.1186	-1.2927	0.1961	True	True	1	-0.1533	-1.2927
AC	C09	-0.0562	0.1201	-0.4675	0.6402	True	True	1	-0.0562	-0.4675
AC	C10AA	0.0376	0.1335	0.2814	0.7784	True	True	1	0.0376	0.2814
AC	CA_Un	-0.4105	1.283	-0.3199	0.749	True	True	1	-0.4105	-0.3199
AC	CB	NA	NA	NA	NA	True	True	1	NA	NA
AC	CC	-0.0854	0.1551	-0.5506	0.5819	True	True	1	-0.0854	-0.5506
AC	CD	0.4726	0.4744	0.9963	0.3191	True	True	1	0.4726	0.9963
AC	CF	0.4407	0.6328	0.6965	0.4861	True	True	1	0.4407	0.6965
AC	CG	0.0337	0.646	0.0522	0.9583	True	True	1	0.0337	0.0522
AC	CHB	0.4246	0.3153	1.3467	0.1781	True	True	1	0.4246	1.3467
AC	CHC	0.053	0.2511	0.2112	0.8327	True	True	1	0.053	0.2112
AC	CHF	0.2138	0.21	1.0178	0.3088	True	True	1	0.2138	1.0178
AC	CL	-0.0444	0.1849	-0.2402	0.8101	True	True	1	-0.0444	-0.2402
AC	COPD	-0.2401	0.2149	-1.1171	0.264	True	True	1	-0.2401	-1.1171
AC	CP	-0.2818	0.278	-1.0135	0.3108	True	True	1	-0.2818	-1.0135
AC	CS	NA	NA	NA	NA	True	True	1	NA	NA
AC	CRF	-0.0362	0.4486	-0.0807	0.9356	True	True	1	-0.0362	-0.0807
AC	CRP	-0.2806	0.2884	-0.9729	0.3306	True	False	-1	0.2806	0.9729
AC	CSOM	-0.0571	0.4843	-0.1179	0.9062	True	True	1	-0.0571	-0.1179
AC	CTS	0.4463	0.3213	1.389	0.1648	True	True	1	0.4463	1.389
AC	CVD	NA	NA	NA	NA	True	True	1	NA	NA
AC	Ca	-0.0836	0.1463	-0.5715	0.5677	True	False	-1	0.0836	0.5715
AC	Car	-0.0757	0.4366	-0.1734	0.8624	True	True	1	-0.0757	-0.1734
AC	Cat	-0.0861	0.2222	-0.3874	0.6985	True	True	1	-0.0861	-0.3874
AC	CeAn	0.1746	0.1893	0.9222	0.3564	True	True	1	0.1746	0.9222
AC	CeC	0.1055	0.2956	0.3568	0.7213	True	True	1	0.1055	0.3568
AC	ChG	NA	NA	NA	NA	True	True	1	NA	NA
AC	ChP	0.1886	0.4059	0.4648	0.6421	True	True	1	0.1886	0.4648
AC	ChS	0.663	0.6523	1.0164	0.3095	True	True	1	0.663	1.0164
AC	Cho	0.2069	0.3073	0.6733	0.5008	True	True	1	0.2069	0.6733
AC	Cir	-0.2049	0.4323	-0.4739	0.6356	True	True	1	-0.2049	-0.4739
AC	Co	0.3325	0.5719	0.5813	0.561	True	True	1	0.3325	0.5813
AC	Cys	NA	NA	NA	NA	True	True	1	NA	NA
AC	DBP	-0.0565	0.1201	-0.4704	0.638	True	False	-1	0.0565	0.4704
AC	DC	NA	NA	NA	NA	True	True	1	NA	NA
AC	DN	0.1762	0.3077	0.5726	0.5669	True	True	1	0.1762	0.5726
AC	Dep	NA	NA	NA	NA	True	True	1	NA	NA
AC	Dip	0.269	0.612	0.4396	0.6602	True	True	1	0.269	0.4396
AC	Dys	NA	NA	NA	NA	True	True	1	NA	NA
AC	EC	0.0512	0.1997	0.2563	0.7977	True	True	1	0.0512	0.2563
AC	EM	0.1034	0.407	0.254	0.7995	True	True	1	0.1034	0.254
AC	EOS	0.1754	0.1134	1.5466	0.122	True	False	-1	-0.1754	-1.5466
AC	EV	NA	NA	NA	NA	True	True	1	NA	NA
AC	EcP	NA	NA	NA	NA	True	True	1	NA	NA
AC	EnC	-0.035	0.2751	-0.1271	0.8988	True	True	1	-0.035	-0.1271
AC	Ep	0.2954	0.4117	0.7174	0.4731	True	True	1	0.2954	0.7174
AC	FA	0.7234	0.339	2.1335	0.0329	True	True	1	0.7234	2.1335
AC	FNP	NA	NA	NA	NA	True	True	1	NA	NA
AC	FS	0.3796	0.3162	1.2005	0.23	True	True	1	0.3796	1.2005
AC	GBP	-0.3961	0.4851	-0.8165	0.4142	True	True	1	-0.3961	-0.8165
AC	GC	0.0017	0.1878	0.0089	0.9929	True	True	1	0.0017	0.0089
AC	GD	0.1868	0.1726	1.0826	0.279	True	True	1	0.1868	1.0826
AC	GERD	-0.7882	0.8774	-0.8984	0.369	True	True	1	-0.7882	-0.8984
AC	GGT	-0.1457	0.1066	-1.367	0.1716	True	False	-1	0.1457	1.367
AC	GP	0.1014	0.3861	0.2627	0.7928	True	True	1	0.1014	0.2627
AC	GU	-0.1228	0.2155	-0.5701	0.5686	True	True	1	-0.1228	-0.5701
AC	Gla	0.129	0.1661	0.7768	0.4373	True	True	1	0.129	0.7768
AC	Glucose	-0.2143	0.1665	-1.2874	0.198	True	False	-1	0.2143	1.2874
AC	Goi	NA	NA	NA	NA	True	True	1	NA	NA
AC	H03A	-0.426	0.3034	-1.4041	0.1603	True	True	1	-0.426	-1.4041
AC	HAV	NA	NA	NA	NA	True	True	1	NA	NA
AC	HC	-1.1286	1.1239	-1.0042	0.3153	True	True	1	-1.1286	-1.0042
AC	HD	0.6052	0.5163	1.1722	0.2411	True	True	1	0.6052	1.1722
AC	HDLC	0.1134	0.1332	0.8514	0.3946	True	False	-1	-0.1134	-0.8514
AC	HI	0.0971	0.3833	0.2534	0.7999	True	True	1	0.0971	0.2534
AC	HL	0.1777	0.685	0.2594	0.7954	True	True	1	0.1777	0.2594
AC	Hb	-0.0021	0.1132	-0.0184	0.9853	True	False	-1	0.0021	0.0184
AC	HbA1c	-0.0404	0.1387	-0.2911	0.771	True	False	-1	0.0404	0.2911
AC	Hei	-0.0322	0.0731	-0.4409	0.6593	True	False	-1	0.0322	0.4409
AC	Her	NA	NA	NA	NA	True	True	1	NA	NA
AC	Ht	-0.0265	0.1079	-0.2452	0.8063	True	False	-1	0.0265	0.2452
AC	Hype	0.3343	0.298	1.1218	0.2619	True	True	1	0.3343	1.1218
AC	Hypo	0.386	0.4598	0.8396	0.4011	True	True	1	0.386	0.8396
AC	IDA	NA	NA	NA	NA	True	True	1	NA	NA
AC	IH	-0.2163	0.2346	-0.9222	0.3564	True	True	1	-0.2163	-0.9222
AC	ILD	NA	NA	NA	NA	True	True	1	NA	NA
AC	IN	0.0144	0.2998	0.0482	0.9616	True	True	1	0.0144	0.0482
AC	IS	-0.1083	0.1625	-0.6666	0.505	True	True	1	-0.1083	-0.6666
